market,odds_col,window,score_state,stat_filter,n,wr,roi,pl,ci_lo,ci_hi,avg_odds,sharpe,max_dd,n_leagues,max_lg_conc,top_league,roi_train,roi_test,n_train,n_test,overlap_note
BACK Over 0.5,back_over05,40-60,home+1,none,40,100.0,22.9,91.51,91.2,100,1.24,10.48,0,24,0.12,Bundesliga,24.5,19.1,28,12,
BACK Over 0.5,back_over05,40-60,home+1,xg_low,40,100.0,22.9,91.51,91.2,100,1.24,10.48,0,24,0.12,Bundesliga,24.5,19.1,28,12,
BACK Over 1.5,back_over15,60-80,goals_ge2,none,82,95.1,47.2,386.68,88.1,98.1,1.6,9.57,10.0,31,0.11,Serie A,48.9,43.2,57,25,
BACK Over 1.5,back_over15,50-70,lead2,none,54,98.1,30.9,166.85,90.2,99.7,1.35,9.47,10.0,28,0.11,Bundesliga,34.5,23.1,37,17,
LAY Under 1.5,lay_under15,60-80,goals_ge2,none,67,94.0,79.8,534.7,85.6,97.7,2.84,9.46,39.0,28,0.12,Serie A,87.2,63.5,46,21,
BACK Over 1.5,back_over15,40-60,goals_ge2,none,116,98.3,26.5,307.17,93.9,99.5,1.3,9.23,10.0,39,0.1,Desconocida,25.1,29.8,81,35,
BACK Over 1.5,back_over15,50-70,tied_1-1,none,52,98.1,36.1,187.88,89.9,99.7,1.41,9.23,10.0,23,0.12,Desconocida,36.6,35.1,36,16,
BACK Over 1.5,back_over15,65-85,goals_ge2,none,76,94.7,60.9,462.88,87.2,97.9,1.75,8.93,10.0,32,0.11,Desconocida,59.6,63.9,53,23,
BACK Over 3.5,back_over35,65-85,goals_ge4,none,48,93.8,98.6,473.27,83.2,97.9,2.19,8.89,10.0,31,0.08,Süper Lig,118.1,55.7,33,15,
BACK Over 1.5,back_over15,45-65,lead2,xg_low,54,98.1,24.7,133.34,90.2,99.7,1.28,8.78,10.0,29,0.09,Bundesliga,24.7,24.6,37,17,
BACK Over 1.5,back_over15,55-75,tied_1-1,none,40,97.5,42.6,170.22,87.1,99.6,1.49,8.71,10.0,21,0.12,La Liga,43.3,40.7,28,12,
BACK Over 1.5,back_over15,40-60,goals_ge2,xg_low,102,98.0,27.2,277.43,93.1,99.5,1.31,8.44,10.0,38,0.11,Desconocida,25.7,30.7,71,31,
BACK Over 1.5,back_over15,60-80,goals_ge2,xg_low,59,94.9,49.7,293.44,86.1,98.3,1.64,8.42,10.0,28,0.12,Bundesliga,51.9,44.8,41,18,
BACK Over 2.5,back_over25,45-65,goals_ge3,none,76,96.1,35.8,272.45,89.0,98.6,1.43,8.34,10.0,36,0.09,La Liga,37.8,31.3,53,23,
BACK Over 0.5,back_over05,40-60,lead1,none,62,98.4,22.6,140.4,91.4,99.7,1.26,8.28,10.0,30,0.11,Desconocida,22.9,22.1,43,19,
BACK Over 0.5,back_over05,40-60,lead1,xg_low,62,98.4,22.6,140.4,91.4,99.7,1.26,8.28,10.0,30,0.11,Desconocida,22.9,22.1,43,19,
BACK Over 1.5,back_over15,45-65,tied_1-1,none,49,100.0,39.6,194.08,92.7,100.0,1.42,8.21,0,24,0.1,Serie A,34.5,51.2,34,15,
BACK Over 1.5,back_over15,65-85,goals_ge2,xg_low,54,94.4,69.8,376.76,84.9,98.1,1.86,8.15,10.0,28,0.11,Desconocida,70.5,68.3,37,17,
BACK Over 1.5,back_over15,70-90,goals_ge2,none,69,94.2,77.1,532.17,86.0,97.7,1.93,8.15,10.0,32,0.1,Desconocida,71.0,91.1,48,21,
BACK Over 1.5,back_over15,55-75,lead2,none,40,97.5,43.7,174.64,87.1,99.6,1.49,8.12,10.0,23,0.1,Serie A,44.7,41.2,28,12,
BACK Over 0.5,back_over05,45-65,lead1,none,58,98.3,28.6,166.15,90.9,99.7,1.33,7.96,10.0,33,0.12,Desconocida,29.5,26.8,40,18,
BACK Over 0.5,back_over05,45-65,lead1,xg_low,58,98.3,28.6,166.15,90.9,99.7,1.33,7.96,10.0,33,0.12,Desconocida,29.5,26.8,40,18,
LAY Under 1.5,lay_under15,70-90,goals_ge2,xg_low,44,90.9,75.8,333.7,78.8,96.4,2.4,7.89,21.5,26,0.14,Desconocida,72.8,82.4,30,14,
BACK Over 2.5,back_over25,45-65,goals_ge3,xg_low,55,96.4,35.0,192.6,87.7,99.0,1.42,7.73,10.0,31,0.09,Desconocida,37.2,30.0,38,17,
BACK Over 1.5,back_over15,45-65,tied_1-1,xg_low,42,100.0,42.0,176.21,91.6,100,1.44,7.66,0,22,0.12,Desconocida,35.9,55.5,29,13,
BACK Over 0.5,back_over05,50-70,lead1,none,48,97.9,33.2,159.4,89.1,99.6,1.38,7.2,10.0,26,0.1,Bundesliga,35.0,29.3,33,15,
BACK Over 0.5,back_over05,50-70,lead1,xg_low,48,97.9,33.2,159.4,89.1,99.6,1.38,7.2,10.0,26,0.1,Bundesliga,35.0,29.3,33,15,
BACK Over 1.5,back_over15,45-65,lead2,none,63,96.8,22.7,143.08,89.1,99.1,1.28,7.12,10.0,31,0.11,Bundesliga,24.0,19.8,44,19,
BACK Over 1.5,back_over15,40-60,lead2,none,69,97.1,19.5,134.26,90.0,99.2,1.24,6.96,10.0,32,0.12,Desconocida,17.5,23.9,48,21,
BACK Over 2.5,back_over25,40-60,goals_ge3,none,66,95.5,32.9,217.43,87.5,98.4,1.41,6.95,10.0,36,0.09,Bundesliga,35.3,27.4,46,20,
BACK Over 1.5,back_over15,70-90,goals_ge2,xg_low,48,91.7,80.9,388.16,80.4,96.7,2.02,6.93,10.0,28,0.12,Desconocida,79.9,82.9,33,15,
BACK Over 1.5,back_over15,60-80,tied_1-1,none,40,95.0,48.2,192.7,83.5,98.6,1.6,6.8,10.0,21,0.12,Bundesliga,49.3,45.5,28,12,
BACK Over 1.5,back_over15,40-60,home+2,none,43,97.7,22.2,95.32,87.9,99.6,1.26,6.71,10.0,25,0.12,Bundesliga,19.6,28.0,30,13,
BACK Over 1.5,back_over15,65-85,lead2,none,38,94.7,67.4,255.95,82.7,98.5,1.83,6.59,10.0,22,0.13,Desconocida,75.2,50.4,26,12,
BACK Over 1.5,back_over15,40-60,tied_1-1,none,46,100.0,36.3,166.91,92.3,100,1.38,6.5,0,26,0.09,Serie A,33.6,42.4,32,14,
BACK Over 1.5,back_over15,40-60,lead2,xg_low,61,96.7,20.0,122.3,88.8,99.1,1.25,6.39,10.0,31,0.11,Desconocida,17.8,25.1,42,19,
BACK Over 1.5,back_over15,45-65,home+2,xg_low,38,97.4,24.0,91.24,86.5,99.5,1.29,6.33,10.0,25,0.11,Bundesliga,22.4,27.4,26,12,
BACK Over 2.5,back_over25,40-60,goals_ge3,xg_low,46,95.7,31.2,143.47,85.5,98.8,1.39,6.28,10.0,30,0.09,Bundesliga,33.2,26.5,32,14,
BACK Over 1.5,back_over15,40-60,home+2,xg_low,40,97.5,22.1,88.49,87.1,99.6,1.26,6.25,10.0,25,0.1,Bundesliga,19.8,27.6,28,12,
BACK Over 1.5,back_over15,40-60,tied_1-1,xg_low,41,100.0,37.7,154.55,91.4,100,1.4,6.06,0,25,0.1,La Liga,31.2,51.7,28,13,
