id,fecha_utc,partido,estrategia,tipo_apuesta,minuto_entrada,score_entrada,recomendacion,cuota_entrada,cuota_minima,cuota_valida,stake,estado,resultado,pl,ev_esperado,confianza,wr_historico,roi_historico,muestra
42,2026-02-22 02:04:50,"Internacional de Bogotá - Millonarios","Back Empate 0-0 (V2R)",paper,33,0-0,"BACK DRAW @ 2.54",2.54,1.93,SI,1.00,pending,,0.00,4.06,high,57.1%,50.2%,7
41,2026-02-22 00:57:39,"Univ Catolica (Chile) - Coquimbo Unido","xG Underperformance (BASE)",paper,64,2-1,"BACK Over 3.5",1.52,1.51,SI,1.00,won,won,0.49,0.86,high,72.7%,24.7%,11
40,2026-02-22 00:44:09,"Atlas - Atletico San Luis","Pressure Cooker (V1)",paper,72,2-2,"BACK Over 4.5",1.82,1.35,SI,1.00,cashout,cashout,-0.36,4.45,medium,81.2%,81.9%,16
39,2026-02-22 00:40:00,"Univ Catolica (Chile) - Coquimbo Unido","Momentum Dominante x xG (V1)",paper,45,1-1,"BACK AWAY @ 4.00",4.00,1.65,SI,1.00,cashout,cashout,-0.84,15.68,high,66.7%,52.2%,12
38,2026-02-21 23:37:38,"Banfield - Newells","Goal Clustering (V2)",paper,57,1-0,"BACK Over 1.5",1.66,1.47,SI,1.00,won,won,0.63,2.20,high,75.0%,72.7%,44
37,2026-02-21 22:10:49,"Red Bull Bragantino - São Paulo","Back Empate 0-0 (V2R)",paper,36,0-0,"BACK DRAW @ 2.54",2.54,1.93,SI,1.00,cashout,cashout,-0.38,4.06,high,57.1%,50.2%,7
36,2026-02-21 21:40:10,"OHiggins - Colo Colo","Back Empate 0-0 (V2R)",paper,38,0-0,"BACK DRAW @ 2.86",2.86,1.93,SI,1.00,cashout,cashout,-0.65,5.80,high,57.1%,50.2%,7
35,2026-02-21 21:35:00,"Ajax - NEC Nijmegen","Pressure Cooker (V1)",paper,71,1-1,"BACK Over 2.5",1.62,1.35,SI,1.00,cashout,cashout,-0.46,2.90,medium,81.2%,81.9%,16
34,2026-02-21 21:27:45,"Las Palmas - Castellón","xG Underperformance (BASE)",paper,61,1-0,"BACK Over 1.5",1.52,1.51,SI,1.00,cashout,cashout,-0.40,0.86,high,72.7%,24.7%,11
32,2026-02-21 21:18:23,"Union St Gilloise - Amberes","Pressure Cooker (V1)",paper,72,1-1,"BACK Over 2.5",1.76,1.35,SI,1.00,cashout,cashout,-0.34,3.98,medium,81.2%,81.9%,16
33,2026-02-21 21:18:23,"Independiente Rivadavia - CA Independiente","Goal Clustering (V2)",paper,54,1-2,"BACK Over 3.5",1.54,1.47,SI,1.00,won,won,0.51,1.35,high,75.0%,72.7%,44
31,2026-02-21 21:17:22,"Union St Gilloise - Amberes","Momentum Dominante x xG (V1)",paper,71,1-1,"BACK HOME @ 1.91",1.91,1.65,SI,1.00,cashout,cashout,-0.39,2.44,high,66.7%,52.2%,12
30,2026-02-21 20:41:59,"Grasshoppers Zurich - FC Zurich","Goal Clustering (V2)",paper,51,0-2,"BACK Over 2.5",2.48,1.47,SI,1.00,won,won,1.41,8.04,high,75.0%,72.7%,44
29,2026-02-21 20:40:45,"Schalke 04 - FC Magdeburg","Goal Clustering (V2)",paper,49,3-1,"BACK Over 4.5",1.85,1.47,SI,1.00,won,won,0.81,3.56,high,75.0%,72.7%,44
28,2026-02-21 20:39:38,"Al-Hilal - Al-Ittihad","Pressure Cooker (V1)",paper,70,1-1,"BACK Over 2.5",1.38,1.35,SI,1.00,cashout,cashout,-0.36,1.05,medium,81.2%,81.9%,16
