match_id,strategy,strategy_label,minuto,back_odds,won,pl,País,Liga,timestamp_utc
liverpool-montevideo-defensor-sp-apuestas-35238332,pressure_cooker,Pressure Cooker,45,2.26,True,1.2,Inglaterra,Premier League,2026-02-14 01:34:57
espanyol-celta-de-vigo-apuestas-35216696,pressure_cooker,Pressure Cooker,67,2.64,True,1.56,España,La Liga,2026-02-14 14:29:10
fredericia-agf-apuestas-35244425,pressure_cooker,Pressure Cooker,34,1.49,False,-1.0,Dinamarca,Superligaen,2026-02-15 13:37:00
oviedo-athletic-de-bilbao-apuestas-35216603,pressure_cooker,Pressure Cooker,59,2.36,True,1.29,España,La Liga,2026-02-15 14:17:08
pfc-levski-sofia-botev-plovdiv-apuestas-35243302,goal_clustering,Goal Clustering,49,1.68,True,0.65,Bulgaria,Liga A,2026-02-15 16:10:14
esporte-clube-primavera-noroeste-bauru-apuestas-35,pressure_cooker,Pressure Cooker,45,1.29,True,0.28,Brasil,Paulista Serie A1,2026-02-16 00:42:55
ponte-preta-são-paulo-apuestas-35245206,goal_clustering,Goal Clustering,48,2.52,True,1.44,Brasil,Paulista Serie A1,2026-02-16 00:45:24
nk-bravo-nk-aluminij-apuestas-35247855,pressure_cooker,Pressure Cooker,69,1.49,True,0.47,Eslovenia,Premier League,2026-02-16 17:59:10
al-hilal-al-wahda-abu-dhabi-apuestas-35269089,pressure_cooker,Pressure Cooker,33,1.18,True,0.17,Arabia Saudita,Saudi Pro League,2026-02-16 18:49:09
sociedad-b-málaga-apuestas-35248844,pressure_cooker,Pressure Cooker,24,1.07,True,0.07,España,Segunda División,2026-02-16 19:55:41
girona-fc-barcelona-apuestas-35216932,goal_clustering,Goal Clustering,58,1.11,True,0.1,España,La Liga,2026-02-16 21:17:34
girona-fc-barcelona-apuestas-35216932,pressure_cooker,Pressure Cooker,62,1.35,True,0.33,España,La Liga,2026-02-16 21:21:10
coventry-middlesbrough-apuestas-35239500,goal_clustering,Goal Clustering,68,2.9,True,1.8,Inglaterra,Championship,2026-02-16 21:28:26
galatasaray-juventus-apuestas-35207338,pressure_cooker,Pressure Cooker,16,1.9,True,0.85,Italia,Serie A,2026-02-17 18:02:16
al-hussein-sc-esteghlal-fc-apuestas-35277998,pressure_cooker,Pressure Cooker,40,2.28,True,1.22,Irán,Iran Pro League,2026-02-17 18:56:24
stevenage-port-vale-apuestas-35266044,pressure_cooker,Pressure Cooker,21,1.2,True,0.19,Inglaterra,League One,2026-02-17 20:07:29
bromley-cheltenham-apuestas-35263015,pressure_cooker,Pressure Cooker,26,1.15,False,-1.0,Inglaterra,League Two,2026-02-17 20:12:31
stevenage-port-vale-apuestas-35266044,goal_clustering,Goal Clustering,27,1.14,False,-1.0,Inglaterra,League One,2026-02-17 20:13:22
barnsley-peterborough-apuestas-35268021,pressure_cooker,Pressure Cooker,34,1.07,True,0.07,Inglaterra,League One,2026-02-17 20:21:09
cardiff-afc-wimbledon-apuestas-35268015,pressure_cooker,Pressure Cooker,45,1.17,True,0.16,Inglaterra,League One,2026-02-17 20:35:15
mónaco-psg-apuestas-35207322,pressure_cooker,Pressure Cooker,42,1.12,True,0.11,Francia,Ligue 1,2026-02-17 20:43:28
bristol-city-wrexham-apuestas-35253015,pressure_cooker,Pressure Cooker,49,1.39,True,0.37,Inglaterra,Championship,2026-02-17 20:53:21
cardiff-afc-wimbledon-apuestas-35268015,goal_clustering,Goal Clustering,59,2.5,True,1.42,Inglaterra,League One,2026-02-17 21:04:09
