market,odds_col,window,score_state,stat_filter,n,wr,roi,pl,ci_lo,ci_hi,avg_odds,sharpe,max_dd,n_leagues,max_lg_conc,top_league,roi_train,roi_test,n_train,n_test,overlap_note
BACK Home,back_home,70-90,home+1,xg_low,132,76.5,23.5,310.49,68.6,82.9,1.68,2.76,51.11,41,0.08,Desconocida,28.0,13.3,92,40,
LAY CS 1-1,lay_rc_1_1,70-90,lead1,none,78,89.7,45.6,356.0,81.0,94.7,5.18,2.66,68.0,28,0.15,Desconocida,57.0,20.0,54,24,
LAY Draw,lay_draw,60-80,away+1,xg_low,123,82.9,33.0,406.2,75.3,88.6,3.52,2.64,84.0,43,0.07,Bundesliga,29.0,42.5,86,37,
LAY CS 1-1,lay_rc_1_1,65-85,lead1,none,89,87.6,41.1,365.5,79.2,93.0,5.11,2.63,78.5,29,0.18,Desconocida,58.4,1.3,62,27,
LAY Over 4.5,lay_over45,65-85,any,none,191,79.1,29.5,562.9,72.7,84.2,5.81,2.55,137.0,44,0.08,Desconocida,30.6,26.9,133,58,lay_over45_v3
BACK Under 3.5,back_under35,60-80,goals_ge2,sot_home,57,68.4,39.7,226.06,55.5,79.0,2.0,2.54,41.16,29,0.09,Desconocida,36.4,46.6,39,18,
LAY Over 4.5,lay_over45,60-80,any,sot_home,43,90.7,55.7,239.6,78.4,96.3,6.48,2.48,64.0,27,0.12,MLS,38.7,95.0,30,13,lay_over45_v3
LAY Draw,lay_draw,50-70,lead1,xg_low,293,79.2,21.4,627.9,74.2,83.4,3.67,2.47,158.4,50,0.07,Desconocida,28.2,5.6,205,88,
LAY CS 1-1,lay_rc_1_1,65-85,any,xg_low,79,84.8,38.9,307.1,75.3,91.1,4.9,2.45,65.5,29,0.22,Desconocida,47.2,19.8,55,24,
LAY Over 4.5,lay_over45,60-80,goals_ge2,none,198,82.3,29.6,585.9,76.4,87.0,6.37,2.44,160.8,45,0.07,Desconocida,31.9,24.2,138,60,lay_over45_v3
LAY Over 4.5,lay_over45,50-70,lead2,none,87,88.5,42.6,370.2,80.1,93.6,6.87,2.41,149.0,37,0.13,Desconocida,31.1,68.1,60,27,lay_over45_v3
BACK Over 2.5,back_over25,40-60,tied_1-1,none,143,76.9,16.4,234.12,69.4,83.1,1.53,2.4,38.77,43,0.08,La Liga,14.4,20.9,100,43,
LAY Draw,lay_draw,65-85,away+1,xg_low,101,84.2,34.0,343.2,75.8,90.0,3.6,2.38,76.5,37,0.07,Liga Argentina,33.6,34.8,70,31,
LAY Over 4.5,lay_over45,65-85,goals_ge2,none,186,78.5,27.7,515.4,72.0,83.8,5.72,2.34,137.0,44,0.08,Desconocida,29.1,24.5,130,56,lay_over45_v3
BACK Under 4.5,back_under45,60-80,any,sot_home,38,89.5,18.3,69.41,75.9,95.8,1.38,2.33,14.87,26,0.11,MLS,14.5,26.4,26,12,
BACK Over 3.5,back_over35,45-65,goals_ge3,xg_low,94,62.8,30.2,283.8,52.7,71.9,2.08,2.31,60.98,41,0.09,Championship,30.4,29.6,65,29,
LAY Draw,lay_draw,60-80,away+1,none,142,81.7,27.7,393.7,74.5,87.2,3.53,2.29,109.5,45,0.07,Bundesliga,25.9,32.0,99,43,
LAY Over 3.5,lay_over35,45-65,any,sot_away,39,76.9,39.3,153.2,61.7,87.4,3.98,2.29,33.0,22,0.18,Desconocida,51.9,11.0,27,12,
LAY Over 4.5,lay_over45,60-80,goals_ge2,sot_home,41,90.2,53.8,220.6,77.5,96.1,6.36,2.29,64.0,25,0.12,MLS,40.8,81.8,28,13,lay_over45_v3
LAY Over 4.5,lay_over45,60-80,home+2,xg_low,40,85.0,51.8,207.2,70.9,92.9,7.85,2.27,95.7,26,0.1,Bundesliga,44.9,67.9,28,12,lay_over45_v3
LAY Draw,lay_draw,65-85,away+1,none,121,82.6,29.9,362.1,74.9,88.4,3.61,2.25,101.5,41,0.07,Bundesliga,32.5,24.1,84,37,
BACK Over 2.5,back_over25,50-70,tied_1-1,none,157,72.0,17.0,266.9,64.5,78.4,1.67,2.25,39.07,42,0.1,Desconocida,16.7,17.7,109,48,
BACK Over 3.5,back_over35,40-60,goals_ge3,xg_low,75,64.0,32.2,241.74,52.7,73.9,2.05,2.23,60.0,36,0.12,Championship,28.0,41.8,52,23,
LAY Draw,lay_draw,65-85,lead1,xg_low,203,79.8,23.3,472.1,73.8,84.7,3.51,2.21,130.0,47,0.07,Bundesliga,28.3,11.5,142,61,
BACK Over 2.5,back_over25,50-70,tied_1-1,xg_low,137,73.0,17.4,238.86,65.0,79.7,1.66,2.21,40.0,41,0.11,Desconocida,18.9,14.2,95,42,
BACK Under 3.5,back_under35,55-75,home+1,xg_low,138,71.7,20.9,288.51,63.7,78.6,1.91,2.21,67.97,44,0.07,League One,24.5,12.6,96,42,under35_late
LAY CS 1-1,lay_rc_1_1,40-60,away+1,none,47,91.5,49.3,231.5,80.1,96.6,5.53,2.19,113.5,25,0.23,Desconocida,41.7,65.3,32,15,
LAY Over 4.5,lay_over45,65-85,any,sot_home,39,89.7,52.6,205.0,76.4,95.9,6.85,2.16,64.0,21,0.13,MLS,39.9,81.0,27,12,lay_over45_v3
BACK Over 2.5,back_over25,40-60,goals_ge2,sot_home,44,81.8,24.3,106.73,68.0,90.5,1.51,2.14,10.88,25,0.09,Desconocida,32.8,6.0,30,14,
BACK Home,back_home,40-60,home+1,sot_home,50,80.0,25.3,126.28,67.0,88.8,1.68,2.13,29.29,25,0.14,Liga Argentina,34.4,3.8,35,15,
LAY Over 4.5,lay_over45,55-75,any,xg_low,176,86.4,31.0,546.1,80.5,90.7,6.98,2.12,133.5,48,0.08,Bundesliga,34.1,23.8,123,53,lay_over45_v3
BACK Under 3.5,back_under35,70-90,any,sot_home,58,77.6,21.8,126.2,65.3,86.4,1.62,2.11,37.34,27,0.14,Desconocida,21.8,21.7,40,18,
BACK Under 4.5,back_under45,45-65,any,sot_home,42,88.1,16.6,69.78,75.0,94.8,1.37,2.07,41.45,25,0.1,Desconocida,9.7,32.1,29,13,
LAY Draw,lay_draw,50-70,lead1,none,320,77.8,17.1,546.9,72.9,82.0,3.68,2.03,148.9,51,0.07,Desconocida,23.4,2.4,224,96,
BACK Over 2.5,back_over25,45-65,goals_ge2,sot_home,45,80.0,25.6,115.37,66.2,89.1,1.56,2.03,28.77,24,0.09,Desconocida,35.1,4.7,31,14,
LAY Over 4.5,lay_over45,65-85,lead2,xg_low,46,78.3,42.0,193.1,64.4,87.7,7.14,2.03,94.6,27,0.11,Championship,50.0,23.6,32,14,lay_over45_v3
BACK Home,back_home,45-65,home+1,corners_dom,44,77.3,24.0,105.65,63.0,87.2,1.79,1.99,20.0,22,0.16,Desconocida,30.5,10.0,30,14,
LAY Over 4.5,lay_over45,55-75,lead1,xg_low,82,85.4,35.8,293.2,76.1,91.4,5.87,1.99,78.0,36,0.07,Bundesliga,25.3,59.7,57,25,lay_over45_v3
BACK Away,back_away,70-90,lead1,xg_low,119,57.1,28.6,340.14,48.2,65.7,2.86,1.95,75.49,40,0.08,Desconocida,26.7,33.0,83,36,
BACK Home,back_home,40-60,home+1,corners_dom,45,73.3,27.9,125.45,59.0,84.0,1.93,1.93,25.82,21,0.18,Desconocida,24.0,36.4,31,14,
BACK Away,back_away,45-65,away+1,xg_low,171,57.3,18.8,321.81,49.8,64.5,2.21,1.91,82.63,51,0.08,Desconocida,18.7,19.1,119,52,away_fav_leading
BACK Under 3.5,back_under35,60-80,lead1,xg_low,167,64.7,16.1,268.57,57.2,71.5,2.06,1.89,57.81,44,0.08,Desconocida,18.7,10.1,116,51,
LAY Draw,lay_draw,40-60,lead1,poss_home,38,81.6,37.7,143.1,66.6,90.8,3.42,1.88,57.6,20,0.18,Desconocida,45.2,21.4,26,12,
BACK Under 3.5,back_under35,55-75,home+1,none,157,67.5,17.7,278.34,59.8,74.3,2.0,1.88,77.97,45,0.08,League One,23.9,3.7,109,48,under35_late
BACK Away,back_away,45-65,away+1,none,185,57.8,17.2,317.69,50.6,64.7,2.17,1.86,90.0,51,0.08,Desconocida,16.7,18.2,129,56,away_fav_leading
BACK Under 3.5,back_under35,50-70,any,corners_dom,84,73.8,25.0,210.01,63.5,82.0,1.79,1.86,42.13,35,0.21,Desconocida,34.9,3.0,58,26,
LAY Draw,lay_draw,50-70,away+1,xg_low,145,79.3,22.2,321.5,72.0,85.1,3.6,1.83,135.5,47,0.08,Desconocida,17.4,33.2,101,44,
BACK Under 1.5,back_under15,70-90,away+1,xg_low,85,58.8,20.7,176.07,48.2,68.7,2.12,1.83,56.06,37,0.11,Liga Argentina,18.0,26.9,59,26,
BACK Home,back_home,65-85,goals_ge2,sot_home,40,62.5,39.9,159.47,47.0,75.8,2.52,1.81,57.72,22,0.12,Desconocida,53.6,7.8,28,12,
BACK Over 2.5,back_over25,55-75,tied_1-1,xg_low,126,69.8,15.6,195.97,61.3,77.2,1.73,1.81,47.08,37,0.11,Desconocida,20.4,4.4,88,38,
LAY Draw,lay_draw,50-70,away+1,none,160,78.8,20.7,331.7,71.8,84.4,3.61,1.8,191.0,47,0.08,Desconocida,16.0,31.8,112,48,
BACK Under 3.5,back_under35,60-80,any,xg_home,38,71.1,32.7,124.27,55.2,83.0,2.07,1.8,26.58,21,0.11,Bundesliga,19.1,62.2,26,12,
BACK Over 2.5,back_over25,40-60,lead1,sot_home,43,62.8,31.6,135.81,47.9,75.6,2.35,1.79,37.04,21,0.16,Desconocida,39.3,13.8,30,13,
BACK Under 3.5,back_under35,60-80,any,corners_dom,73,68.5,22.9,166.88,57.1,78.0,2.0,1.78,40.0,28,0.19,Desconocida,24.2,19.7,51,22,
LAY Over 4.5,lay_over45,55-75,goals_ge3,xg_low,105,81.9,28.6,300.6,73.5,88.1,5.05,1.77,132.5,44,0.06,Desconocida,26.1,34.3,73,32,lay_over45_v3
LAY Over 4.5,lay_over45,60-80,lead2,none,79,82.3,33.2,262.1,72.4,89.1,7.74,1.77,152.8,35,0.09,Bundesliga,34.0,31.3,55,24,lay_over45_v3
BACK Under 3.5,back_under35,50-70,home+1,xg_low,159,72.3,15.5,245.79,64.9,78.7,1.82,1.76,93.95,43,0.08,Desconocida,18.9,7.5,111,48,under35_late
BACK Under 3.5,back_under35,50-70,goals_ge2,corners_dom,56,64.3,35.0,196.14,51.2,75.5,2.12,1.76,50.0,26,0.2,Desconocida,44.6,13.1,39,17,
BACK Under 3.5,back_under35,60-80,goals_ge3,sot_home,47,55.3,34.8,163.71,41.2,68.6,2.2,1.76,50.0,26,0.09,Desconocida,33.6,37.5,32,15,under35_3goals
BACK Under 3.5,back_under35,65-85,lead1,xg_low,132,60.6,16.5,218.12,52.1,68.5,2.11,1.76,103.74,40,0.08,Bundesliga,14.7,20.7,92,40,
BACK Under 3.5,back_under35,70-90,goals_ge2,sot_home,56,75.0,19.1,107.17,62.3,84.5,1.63,1.76,37.34,28,0.14,Desconocida,22.8,10.7,39,17,
BACK Over 2.5,back_over25,45-65,lead1,sot_home,49,59.2,29.4,144.17,45.2,71.8,2.4,1.74,33.57,25,0.18,Desconocida,41.0,3.2,34,15,
BACK Under 3.5,back_under35,60-80,home+1,xg_low,107,66.4,18.2,194.97,57.0,74.6,1.95,1.73,65.37,40,0.09,Desconocida,24.0,5.2,74,33,under35_late
BACK Away,back_away,65-85,lead1,xg_low,155,54.2,22.2,344.42,46.3,61.8,2.96,1.71,133.93,45,0.08,Desconocida,25.1,15.5,108,47,
BACK Under 1.5,back_under15,65-85,away+1,xg_low,95,51.6,21.4,203.19,41.7,61.4,2.44,1.71,62.07,38,0.09,Liga Argentina,13.3,39.7,66,29,
LAY CS 1-1,lay_rc_1_1,45-65,away+1,none,40,90.0,43.0,172.0,76.9,96.0,5.32,1.68,108.5,22,0.23,Desconocida,35.9,59.6,28,12,
BACK Under 3.5,back_under35,60-80,home+1,none,127,64.6,16.5,209.16,55.9,72.3,2.01,1.67,73.19,42,0.09,Desconocida,19.5,9.6,88,39,under35_late
LAY Over 1.5,lay_over15,65-85,0-0,xg_low,38,81.6,36.1,137.3,66.6,90.8,3.7,1.67,39.0,23,0.13,Serie A,40.8,26.0,26,12,
BACK Away,back_away,60-80,lead1,xg_low,179,53.1,19.3,344.6,45.8,60.2,3.01,1.66,173.52,50,0.09,Desconocida,24.0,8.2,125,54,
LAY CS 1-1,lay_rc_1_1,40-60,away+1,xg_low,41,90.2,42.6,174.5,77.5,96.1,5.5,1.66,123.0,24,0.27,Desconocida,34.1,60.8,28,13,
BACK Under 1.5,back_under15,70-90,away+1,none,98,58.2,17.1,167.74,48.3,67.4,2.1,1.65,56.06,37,0.09,Liga Argentina,14.6,22.9,68,30,
LAY CS 1-1,lay_rc_1_1,65-85,home+1,xg_low,41,87.8,39.6,162.5,74.5,94.7,5.19,1.65,54.0,18,0.2,Desconocida,44.3,29.6,28,13,
LAY CS 1-2,lay_rc_1_2,65-85,any,none,55,85.5,34.7,190.9,73.8,92.4,5.76,1.65,75.7,27,0.18,Desconocida,24.6,57.4,38,17,
BACK Under 3.5,back_under35,55-75,any,xg_home,41,73.2,34.2,140.13,58.1,84.3,2.07,1.64,31.17,22,0.1,Bundesliga,23.8,56.5,28,13,
BACK Under 3.5,back_under35,55-75,goals_ge2,sot_home,52,59.6,33.1,171.99,46.1,71.8,2.17,1.64,47.37,25,0.1,Desconocida,25.4,50.3,36,16,
LAY Draw,lay_draw,45-65,lead1,corners_dom,62,79.0,27.9,173.0,67.4,87.3,3.72,1.63,82.5,27,0.15,Desconocida,30.8,21.3,43,19,
LAY Away,lay_away,70-90,goals_ge4,none,45,64.4,26.9,121.0,49.8,76.8,2.55,1.63,68.4,25,0.11,Bundesliga,17.6,47.4,31,14,
BACK Under 3.5,back_under35,55-75,any,sot_home,66,66.7,26.1,171.94,54.7,76.8,1.94,1.63,44.59,29,0.09,Desconocida,15.6,50.0,46,20,
BACK Under 3.5,back_under35,60-80,goals_ge2,corners_dom,63,63.5,24.2,152.37,51.1,74.3,2.13,1.63,40.5,28,0.19,Desconocida,25.8,20.4,44,19,
BACK Under 3.5,back_under35,65-85,goals_ge3,xg_low,161,53.4,15.0,241.11,45.7,61.0,2.3,1.62,180.38,43,0.07,Bundesliga,11.8,22.1,112,49,under35_3goals
LAY Draw,lay_draw,55-75,away+1,xg_low,128,78.9,20.9,267.5,71.0,85.1,3.64,1.61,108.5,45,0.08,Desconocida,13.9,36.8,89,39,
LAY Over 4.5,lay_over45,45-65,lead2,xg_low,67,89.6,39.7,266.2,80.0,94.8,6.45,1.61,125.0,33,0.12,Desconocida,29.3,62.6,46,21,lay_over45_v3
LAY Over 4.5,lay_over45,55-75,goals_ge2,xg_low,161,85.1,25.1,403.6,78.8,89.8,6.76,1.58,143.0,49,0.07,Bundesliga,31.6,10.2,112,49,lay_over45_v3
LAY Over 4.5,lay_over45,55-75,home+2,xg_low,40,90.0,45.7,182.8,76.9,96.0,7.92,1.57,146.0,27,0.07,La Liga,30.7,80.7,28,12,lay_over45_v3
LAY CS 1-2,lay_rc_1_2,65-85,goals_ge2,none,54,85.2,33.6,181.4,73.4,92.3,5.68,1.57,75.7,27,0.19,Desconocida,22.7,57.4,37,17,
LAY Over 4.5,lay_over45,50-70,any,sot_home,41,87.8,40.3,165.2,74.5,94.7,6.19,1.56,64.0,23,0.12,Desconocida,24.5,74.3,28,13,lay_over45_v3
BACK Over 2.5,back_over25,50-70,away+2,none,46,76.1,20.7,95.08,62.1,86.1,1.58,1.55,20.52,24,0.13,Desconocida,26.5,7.3,32,14,
BACK Under 3.5,back_under35,45-65,any,sot_home,69,69.6,24.9,171.67,57.9,79.2,2.02,1.55,38.04,28,0.16,Desconocida,19.8,36.5,48,21,
BACK Under 1.5,back_under15,65-85,away+1,none,108,50.9,17.8,191.89,41.6,60.2,2.44,1.54,62.22,41,0.08,Liga Argentina,12.7,29.2,75,33,
LAY Draw,lay_draw,40-60,home+1,corners_dom,39,79.5,32.3,125.8,64.5,89.2,3.59,1.53,64.1,21,0.13,Liga Argentina,33.7,28.9,27,12,
BACK Under 3.5,back_under35,50-70,goals_ge2,sot_home,52,59.6,33.7,175.03,46.1,71.8,2.21,1.53,42.02,24,0.15,Desconocida,31.5,38.6,36,16,
BACK Over 2.5,back_over25,45-65,any,sot_home,79,62.0,21.6,170.81,51.0,71.9,2.42,1.51,35.45,35,0.14,Desconocida,24.6,14.8,55,24,
BACK Under 3.5,back_under35,40-60,any,xg_home,38,73.7,24.9,94.73,58.0,85.0,1.87,1.51,25.15,21,0.11,Primeira Liga,33.9,5.5,26,12,
BACK Under 3.5,back_under35,70-90,goals_ge3,sot_home,39,64.1,24.1,93.98,48.4,77.3,1.88,1.51,42.45,23,0.13,Desconocida,25.9,20.0,27,12,under35_3goals
BACK Home,back_home,40-60,home+2,none,38,78.9,18.3,69.62,63.7,88.9,1.51,1.5,20.0,23,0.08,Süper Lig,9.0,38.4,26,12,
LAY Over 1.5,lay_over15,65-85,0-0,none,42,81.0,32.1,134.8,66.7,90.0,3.7,1.5,44.3,24,0.12,Serie A,32.4,31.3,29,13,
BACK Over 2.5,back_over25,40-60,away+2,xg_low,40,75.0,20.4,81.41,59.8,85.8,1.56,1.49,19.83,24,0.12,Ligue 1,29.0,0.1,28,12,
BACK Under 3.5,back_under35,50-70,any,sot_home,68,66.2,25.4,172.57,54.3,76.3,1.95,1.49,46.3,28,0.13,Desconocida,23.2,30.2,47,21,
LAY Over 4.5,lay_over45,70-90,any,xg_low,124,78.2,23.1,286.0,70.2,84.6,5.54,1.49,110.5,41,0.07,Desconocida,12.7,46.5,86,38,lay_over45_v3
BACK Under 3.5,back_under35,60-80,goals_ge3,xg_low,161,49.1,15.2,244.07,41.5,56.7,2.51,1.46,122.36,45,0.08,Bundesliga,17.5,9.8,112,49,under35_3goals
LAY Over 4.5,lay_over45,60-80,home+2,none,55,81.8,33.9,186.4,69.7,89.8,7.8,1.46,141.7,31,0.09,Bundesliga,42.2,15.3,38,17,lay_over45_v3
LAY CS 0-2,lay_rc_0_2,65-85,any,none,42,83.3,34.3,143.9,69.4,91.7,4.96,1.46,79.6,21,0.24,Desconocida,25.9,53.0,29,13,
BACK Under 3.5,back_under35,65-85,any,sot_home,62,69.4,17.1,106.11,57.0,79.4,1.76,1.45,66.3,28,0.11,Desconocida,16.6,18.2,43,19,
BACK Under 3.5,back_under35,65-85,home+1,xg_low,90,61.1,16.3,146.84,50.8,70.5,2.06,1.43,57.37,39,0.08,Super League,19.9,8.4,62,28,under35_late
BACK Under 3.5,back_under35,70-90,any,xg_home,41,75.6,17.1,70.13,60.7,86.2,1.68,1.43,25.44,18,0.12,Desconocida,11.8,28.4,28,13,
LAY Under 2.5,lay_under25,50-70,tied_1-1,xg_low,123,74.0,18.2,224.3,65.6,80.9,3.43,1.43,86.0,39,0.1,Desconocida,14.5,26.9,86,37,
LAY Home,lay_home,50-70,away+1,xg_low,48,79.2,28.6,137.1,65.7,88.3,3.23,1.4,91.5,25,0.1,Bundesliga,25.2,35.9,33,15,
BACK Over 2.5,back_over25,40-60,away+2,none,48,75.0,16.8,80.49,61.2,85.1,1.52,1.4,29.76,25,0.15,Desconocida,18.4,13.1,33,15,
LAY Over 3.5,lay_over35,55-75,away+1,xg_low,72,63.9,20.6,148.2,52.4,74.0,4.42,1.4,78.0,32,0.12,Bundesliga,27.4,5.0,50,22,
LAY Over 3.5,lay_over35,70-90,away+1,xg_low,42,59.5,20.3,85.4,44.5,73.0,2.39,1.4,61.2,23,0.14,Bundesliga,22.2,16.1,29,13,
BACK Under 3.5,back_under35,65-85,any,corners_dom,70,68.6,15.8,110.3,57.0,78.2,1.85,1.38,50.97,29,0.16,Desconocida,7.6,34.9,49,21,
LAY Over 3.5,lay_over35,65-85,away+1,xg_low,46,60.9,21.3,97.8,46.5,73.6,2.61,1.38,73.8,25,0.13,Bundesliga,27.6,6.7,32,14,
BACK Under 2.5,back_under25,45-65,any,xg_home,44,54.5,30.3,133.42,40.1,68.3,2.68,1.36,32.14,23,0.14,Desconocida,24.4,43.0,30,14,
BACK Under 3.5,back_under35,45-65,any,xg_home,46,73.9,21.9,100.56,59.7,84.4,1.86,1.36,36.43,23,0.11,Desconocida,13.4,41.1,32,14,
BACK Away,back_away,55-75,lead1,xg_low,203,48.8,15.1,306.91,42.0,55.6,3.11,1.35,157.69,50,0.07,Desconocida,19.2,5.7,142,61,
LAY Over 4.5,lay_over45,70-90,goals_ge2,xg_low,121,77.7,21.3,257.5,69.5,84.2,5.46,1.35,110.5,41,0.07,Desconocida,10.8,45.2,84,37,lay_over45_v3
BACK Home,back_home,45-65,lead1,corners_dom,54,68.5,18.6,100.25,55.3,79.3,1.99,1.34,37.62,22,0.19,Desconocida,22.4,10.2,37,17,
BACK Home,back_home,40-60,any,poss_away,52,53.8,26.5,137.98,40.5,66.7,2.73,1.33,54.85,25,0.13,Liga Argentina,28.3,22.6,36,16,
LAY Home,lay_home,50-70,away+1,none,52,78.8,26.5,137.6,66.0,87.8,3.16,1.33,110.0,26,0.1,Bundesliga,20.6,39.6,36,16,
BACK Under 3.5,back_under35,65-85,any,xg_home,38,71.1,20.8,78.95,55.2,83.0,1.92,1.33,27.44,19,0.11,Bundesliga,14.8,33.7,26,12,
BACK Under 3.5,back_under35,70-90,goals_ge2,xg_home,39,74.4,16.7,65.28,58.9,85.4,1.71,1.33,25.44,18,0.13,Desconocida,6.8,39.1,27,12,
BACK Over 2.5,back_over25,45-65,away+2,none,47,76.6,15.5,72.92,62.8,86.4,1.51,1.32,23.55,25,0.13,Desconocida,19.0,8.1,32,15,
