fecha,partido,liga,estrategia,tipo,minuto,odds,won,pl,pl_acum,ft_score,riesgo,xg_total,xg_excess,sot_max,drift_pct,match_id
2026-02-15 14:31,Oviedo Athletic De Bilbao 35216603,,Pressure Cooker,BACK,67,2.36,SI,+1.24,+25.63,,,,,,,oviedo-athletic-de-bilbao-apuestas-35216603
2026-02-15 14:31,Olympiakos Nicosia Fc Omonia Fc Aradippou Apuestas,,LAY Over 2.5 Def,LAY,70,2.66,SI,+0.95,+26.58,,,0,,,,olympiakos-nicosia-fc-omonia-fc-aradippou-apuestas
2026-02-15 14:31,Thun Sion 35258535,,LAY Over 2.5 Def,LAY,71,1.68,SI,+0.95,+27.53,,,1.14,,,,thun-sion-apuestas-35258535
2026-02-15 14:33,Goztepe Kayserispor 35247853,,Momentum xG V1,BACK,29,1.94,NO,-1.00,+26.53,,none,,,,,goztepe-kayserispor-apuestas-35247853
2026-02-15 14:49,Parma Verona 35215939,,Goal Clustering,BACK,43,2.72,SI,+1.59,+28.12,,,,,3,,parma-verona-apuestas-35215939
2026-02-15 15:18,Stoke Fulham 35172767,,Goal Clustering,BACK,56,1.80,SI,+0.72,+28.84,,,,,5,,stoke-fulham-apuestas-35172767
2026-02-15 15:26,Odense Midtjylland 35244627,,Goal Clustering,BACK,19,2.58,SI,+1.45,+30.29,,,,,6,,odense-midtjylland-apuestas-35244627
2026-02-15 15:29,Parma Verona 35215939,,Pressure Cooker,BACK,66,2.72,SI,+1.59,+31.88,,,,,,,parma-verona-apuestas-35215939
2026-02-15 15:35,us-cremonese-génova-apuestas-35215933,,LAY Over 1.5,LAY,76,1.58,SI,+0.95,+32.83,,,2.7,,,,us-cremonese-génova-apuestas-35215933
2026-02-15 15:37,Oxford United Sunderland 35172773,,LAY Over 1.5,LAY,76,1.44,SI,+0.95,+33.78,,,1.94,,,,oxford-united-sunderland-apuestas-35172773
2026-02-15 15:41,Goztepe Kayserispor 35247853,,LAY Over 1.5,LAY,75,1.48,SI,+0.95,+34.73,,,1.41,,,,goztepe-kayserispor-apuestas-35247853
2026-02-15 15:43,Le Havre Toulouse 35216498,,Odds Drift,BACK,77.0,2.92,SI,+1.77,+36.50,,none,,,,43.1,le-havre-toulouse-apuestas-35216498
2026-02-15 15:52,Mlada Boleslav Teplice 35244135,,Momentum xG V1,BACK,61,2.08,NO,-1.00,+35.50,,none,,,,,mlada-boleslav-teplice-apuestas-35244135
2026-02-15 15:54,Univ De Concepcion Deportes Concepcion 35,,Goal Clustering,BACK,45,2.02,SI,+0.93,+36.43,,,,,3,,univ-de-concepcion-deportes-concepcion-apuestas-35
2026-02-15 16:00,Augsburgo Heidenheim 35217437,,LAY Over 2.5 Def,LAY,70,1.86,SI,+0.95,+37.38,,,0.93,,,,augsburgo-heidenheim-apuestas-35217437
2026-02-15 16:03,Mlada Boleslav Teplice 35244135,,LAY Over 2.5 Def,LAY,71,2.32,SI,+0.95,+38.33,,,0.94,,,,mlada-boleslav-teplice-apuestas-35244135
2026-02-15 16:07,Motherwell Aberdeen 35257642,,LAY Over 1.5,LAY,76,1.27,NO,-0.27,+38.06,,,2.46,,,,motherwell-aberdeen-apuestas-35257642
2026-02-15 17:40,Lorient Angers 35216803,,Goal Clustering,BACK,57,2.68,NO,-1.00,+37.06,,,,,3,,lorient-angers-apuestas-35216803
2026-02-15 18:35,Viborg Brondby 35244371,,LAY Over 2.5 Def,LAY,73,1.85,SI,+0.95,+38.01,,,1.11,,,,viborg-brondby-apuestas-35244371
2026-02-15 19:10,Paok Aek De Atenas 35216981,,LAY Over 1.5,LAY,76,1.55,SI,+0.95,+38.96,,,1.45,,,,paok-aek-de-atenas-apuestas-35216981
2026-02-15 20:15,Sint Truidense Zulte Waregem 35245430,,Pressure Cooker,BACK,69,1.99,SI,+0.90,+39.86,,,,,,,sint-truidense-zulte-waregem-apuestas-35245430
2026-02-15 21:17,Mallorca Betis 35216706,,xG Underperf,BACK,54.0,2.22,SI,+1.12,+40.98,,,,0.53,,,mallorca-betis-apuestas-35216706
2026-02-15 23:59,Red Bull Bragantino Novorizontino 3524529,,Momentum xG V1,BACK,23,1.66,SI,+0.60,+41.58,,none,,,,,red-bull-bragantino-novorizontino-apuestas-3524529
2026-02-16 00:44,colo-colo-unión-la-calera-apuestas-35244,,Momentum xG V1,BACK,50,1.71,NO,-1.00,+40.58,,none,,,,,colo-colo-unión-la-calera-apuestas-35244756
2026-02-16 01:14,Botafogo Sp Capivariano Sp 35245279,,LAY Over 1.5,LAY,75,9.40,SI,+0.95,+41.53,,,1.63,,,,botafogo-sp-capivariano-sp-apuestas-35245279
2026-02-16 16:22,Hermannstadt Cfr Cluj 35247993,,xG Underperf,BACK,56.0,1.60,NO,-1.00,+40.53,,,,0.88,,,hermannstadt-cfr-cluj-apuestas-35247993
2026-02-16 16:35,Modern Sport Fc Kahraba Ismailia 35248915,,LAY Over 2.5 Def,LAY,70,8.60,SI,+0.95,+41.48,,,0.96,,,,modern-sport-fc-kahraba-ismailia-apuestas-35248915
2026-02-16 16:42,Hermannstadt Cfr Cluj 35247993,,LAY Over 1.5,LAY,75,2.80,SI,+0.95,+42.43,,,2.19,,,,hermannstadt-cfr-cluj-apuestas-35247993
2026-02-16 18:41,Enppi National Bank 35255322,,Momentum xG V1,BACK,40,3.80,NO,-1.00,+41.43,,none,,,,,enppi-national-bank-apuestas-35255322
2026-02-16 19:08,Sonderjyske Silkeborg 35244497,,Momentum xG V1,BACK,47,4.50,SI,+3.24,+44.67,,none,,,,,sonderjyske-silkeborg-apuestas-35244497
2026-02-16 19:33,Enppi National Bank 35255322,,LAY Over 2.5 Def,LAY,70,4.00,SI,+0.95,+45.62,,,0.62,,,,enppi-national-bank-apuestas-35255322
2026-02-16 20:11,Cagliari Lecce 35216885,,Momentum xG V1,BACK,23,3.95,SI,+2.73,+48.34,,none,,,,,cagliari-lecce-apuestas-35216885
2026-02-16 20:46,Rio Ave Moreirense 35247028,,Odds Drift,BACK,30.0,2.08,SI,+0.99,+49.33,,none,,,,37.7,rio-ave-moreirense-apuestas-35247028
2026-02-16 21:18,Coventry Middlesbrough 35239500,,Goal Clustering,BACK,55,1.76,SI,+0.68,+50.02,,,,,3,,coventry-middlesbrough-apuestas-35239500
2026-02-16 23:28,Albion Fc Cerro 35242273,,LAY Over 2.5 Def,LAY,70,9.60,NO,-8.60,+41.42,,,0,,,,albion-fc-cerro-apuestas-35242273
2026-02-17 10:27,Fc Machida Chengdu Rongcheng 35273391,,Goal Clustering,BACK,24,1.75,SI,+0.68,+42.10,,,,,3,,fc-machida-chengdu-rongcheng-apuestas-35273391
2026-02-17 10:46,Fc Seoul Hiroshima 35273415,,xG Underperf,BACK,45.0,1.91,SI,+0.83,+42.93,,,,0.54,,,fc-seoul-hiroshima-apuestas-35273415
2026-02-17 16:37,Al Sadd Al Ittihad 35273530,,Goal Clustering,BACK,32,2.36,SI,+1.24,+44.17,,,,,3,,al-sadd-al-ittihad-apuestas-35273530
2026-02-17 21:07,Barrow Harrogate Town 35263010,,xG Underperf,BACK,62.0,1.55,NO,-1.00,+43.17,,,,0.75,,,barrow-harrogate-town-apuestas-35263010
2026-02-17 21:12,Cambridge United Colchester 35263012,,Pressure Cooker,BACK,65,1.90,NO,-1.00,+42.17,,,,,,,cambridge-united-colchester-apuestas-35263012
2026-02-17 21:13,Bradford Stockport 35268022,,LAY Over 2.5 Def,LAY,70,9.00,SI,+0.95,+43.12,,,0,,,,bradford-stockport-apuestas-35268022
2026-02-17 21:17,Burton Albion Rotherham 35253017,,LAY Over 2.5 Def,LAY,70,7.60,SI,+0.95,+44.07,,,1.11,,,,burton-albion-rotherham-apuestas-35253017
2026-02-17 21:18,Chesterfield Gillingham 35263011,,LAY Over 1.5,LAY,75,2.12,SI,+0.95,+45.02,,,2.24,,,,chesterfield-gillingham-apuestas-35263011
2026-02-17 21:19,Tranmere Accrington 35263115,,LAY Over 1.5,LAY,76,2.34,SI,+0.95,+45.97,,,2.19,,,,tranmere-accrington-apuestas-35263115
2026-02-17 21:21,Exeter Wycombe 35268035,,LAY Over 1.5,LAY,75,2.40,SI,+0.95,+46.92,,,1.25,,,,exeter-wycombe-apuestas-35268035
2026-02-17 21:21,Mk Dons Crawley 35262998,,LAY Over 1.5,LAY,75,8.80,SI,+0.95,+47.87,,,1.25,,,,mk-dons-crawley-apuestas-35262998
2026-02-17 21:22,Crewe Fleetwood Town 35263118,,LAY Over 1.5,LAY,75,2.72,SI,+0.95,+48.82,,,1.84,,,,crewe-fleetwood-town-apuestas-35263118
2026-02-17 21:23,Barrow Harrogate Town 35263010,,LAY Over 1.5,LAY,76,2.58,SI,+0.95,+49.77,,,1.47,,,,barrow-harrogate-town-apuestas-35263010
2026-02-17 21:32,Blackpool Mansfield 35268023,,LAY Over 2.5 Def,LAY,71,8.40,SI,+0.95,+50.72,,,0.84,,,,blackpool-mansfield-apuestas-35268023
2026-02-17 21:34,Reading Bolton 35268029,,LAY Over 2.5 Def,LAY,70,4.70,SI,+0.95,+51.67,,,1.18,,,,reading-bolton-apuestas-35268029
2026-02-17 21:36,Benfica Real Madrid 35207328,,LAY Over 1.5,LAY,75,1.76,SI,+0.95,+52.62,,,1.37,,,,benfica-real-madrid-apuestas-35207328
2026-02-17 23:34,Carabobo Huachipato 35074301,,LAY Over 2.5 Def,LAY,71,9.00,SI,+0.95,+53.57,,,1.03,,,,carabobo-huachipato-apuestas-35074301
2026-02-18 02:00,Liverpool Montevideo Ind Medellin 3507430,,Pressure Cooker,BACK,65,2.16,SI,+1.06,+54.63,,,,,,,liverpool-montevideo-ind-medellin-apuestas-3507430
2026-02-18 14:00,Persib Bandung Ratchaburi 35281004,,LAY Over 1.5,LAY,75,2.28,SI,+0.95,+55.59,,,1.45,,,,persib-bandung-ratchaburi-apuestas-35281004
2026-02-18 18:41,Al Ahli Qat Sepahan 35281006,,Momentum xG V1,BACK,26,4.30,NO,-1.00,+54.59,,none,,,,,al-ahli-qat-sepahan-apuestas-35281006
2026-02-18 20:36,Levante Villarreal 35242977,,LAY Over 1.5,LAY,75,2.96,SI,+0.95,+55.53,,,1.97,,,,levante-villarreal-apuestas-35242977
2026-02-18 23:42,ohiggins-bahía-apuestas-35076765,,LAY Over 1.5,LAY,75,2.74,SI,+0.95,+56.48,,,1.19,,,,ohiggins-bahía-apuestas-35076765
2026-02-19 19:16,Zrinjski Crystal Palace 35187500,,Pressure Cooker,BACK,65,1.89,NO,-1.00,+55.48,,,,,,,zrinjski-crystal-palace-apuestas-35187500
2026-02-19 19:18,Brann Bologna 35247720,,LAY Over 2.5 Def,LAY,71,7.80,SI,+0.95,+56.44,,,0.92,,,,brann-bologna-apuestas-35247720
2026-02-19 21:05,Pharco Fc Petrojet 35260504,,xG Underperf,BACK,66.0,1.62,SI,+0.56,+56.99,,,,0.53,,,pharco-fc-petrojet-apuestas-35260504
2026-02-19 21:08,Al Ahly Cairo El Gounah 35260500,,LAY Over 1.5,LAY,76,2.34,SI,+0.95,+57.95,,,1.4,,,,al-ahly-cairo-el-gounah-apuestas-35260500
2026-02-19 21:35,Lille Estrella Roja 35239505,,LAY Over 1.5,LAY,75,2.06,SI,+0.95,+58.90,,,1.28,,,,lille-estrella-roja-apuestas-35239505
2026-02-19 21:39,Kf Drita Celje 35194711,,Pressure Cooker,BACK,74,2.26,SI,+1.15,+60.05,,,,,,,kf-drita-celje-apuestas-35194711
2026-02-20 00:15,Athletico Pr Corinthians 35232858,,LAY Over 1.5,LAY,76,2.62,SI,+0.95,+60.99,,,1.94,,,,athletico-pr-corinthians-apuestas-35232858
2026-02-20 16:15,Cherno More Varna Botev Vratsa 35246972,,Goal Clustering,BACK,24,1.77,NO,-1.00,+59.99,,,,,3,,cherno-more-varna-botev-vratsa-apuestas-35246972
2026-02-20 19:09,bochum-núremberg-apuestas-35263854,,Pressure Cooker,BACK,71,2.02,NO,-1.00,+58.99,,,,,,,bochum-núremberg-apuestas-35263854
2026-02-20 19:25,Rodez Montpellier 35266151,,Momentum xG V1,BACK,24,2.90,SI,+1.75,+60.74,,none,,,,,rodez-montpellier-apuestas-35266151
2026-02-20 19:29,Dunkerque Bastia 35273785,,Momentum xG V1,BACK,28,3.60,NO,-1.00,+59.74,,none,,,,,dunkerque-bastia-apuestas-35273785
2026-02-20 20:06,Boulogne Clermont 35263818,,Momentum xG V1,BACK,48,4.10,SI,+2.87,+62.61,,none,,,,,boulogne-clermont-apuestas-35263818
2026-02-20 20:06,Mainz Hamburgo 35244047,,Momentum xG V1,BACK,25,3.40,NO,-1.00,+61.61,,none,,,,,mainz-hamburgo-apuestas-35244047
2026-02-20 20:39,Rodez Montpellier 35266151,,LAY Over 1.5,LAY,77,2.68,SI,+0.95,+62.56,,,1.35,,,,rodez-montpellier-apuestas-35266151
2026-02-20 21:40,Athletic De Bilbao Elche 35245234,,Pressure Cooker,BACK,69,2.30,SI,+1.19,+63.75,,,,,,,athletic-de-bilbao-elche-apuestas-35245234
2026-02-21 00:38,Instituto Atl Tucuman 35252275,,Pressure Cooker,BACK,65,2.16,SI,+1.06,+64.81,,,,,,,instituto-atl-tucuman-apuestas-35252275
2026-02-21 17:57,West Ham Bournemouth 35240880,,Momentum xG V1,BACK,25,2.82,NO,-1.00,+63.81,,none,,,,,west-ham-bournemouth-apuestas-35240880
