id,timestamp_utc,match_id,match_name,match_url,strategy,strategy_name,minute,score,recommendation,back_odds,min_odds,expected_value,confidence,win_rate_historical,roi_historical,sample_size,bet_type,stake,notes,status,result,pl
1,2026-03-15 14:41:42,estrasburgo-paris-fc-apuestas-35324618,Estrasburgo - Paris FC,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/ligue-1-francesa/estrasburgo-paris-fc-apuestas-35324618,poss_extreme,BACK Over 0.5 Poss Extreme,38,0-0,BACK OVER 0.5 @ 1.15,1.15,,0,medium,0,0,0,paper,1.0,auto,pending,,
2,2026-03-15 14:42:02,kasimpasa-eyupspor-apuestas-35352189,Kasimpasa - Eyupspor,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/superliga-turca/kasimpasa-eyupspor-apuestas-35352189,cs_one_goal,BACK CS One-Goal,74,1-0,BACK CS 1-0 @ 1.90,1.9,,0,medium,0,0,0,paper,1.0,auto,pending,,
