betfair_slug,football_data_name,league,confidence
tochigi-sc,,,1.0
tochigi-uva-fc,,,1.0
tokushima,,,1.0
tosu,,,1.0
tottenham,Tottenham,E0,1.0
tottenham-femenino,,,1.0
tottori,,,1.0
toyama,,,1.0
trabzonspor,Trabzonspor,T1,1.0
udinese,Udinese,I1,1.0
union-st-gilloise,St. Gilloise,B1,1.0
univ-catolica-ecu,,,1.0
universidad-de-chile,,,1.0
unión-berlín,Union Berlin,D1,1.0
utrecht,Utrecht,N1,1.0
valladolid,Valladolid,SP2,1.0
werder-bremen,Werder Bremen,D1,1.0
west-ham,West Ham,E0,1.0
west-ham-united-w,,,1.0
winterthur,,,1.0
wrexham,Wrexham,E1,1.0
wycombe,Wycombe,E2,1.0
yamagata,,,1.0
yellow-red-mechelen,Mechelen,B1,1.0
young-boys,,,1.0
zaragoza,Zaragoza,SP2,1.0
