id,timestamp_utc,match_id,match_name,match_url,strategy,strategy_name,minute,score,recommendation,back_odds,min_odds,expected_value,confidence,win_rate_historical,roi_historical,sample_size,bet_type,stake,notes,status,result,pl,telegram_sent
12,2026-03-18 11:30:37,fukuoka-shimizu-apuestas-35372293,Fukuoka - Shimizu,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/fukuoka-shimizu-apuestas-35372293,away_fav_leading,BACK Away Fav Leading,65,0-1,BACK AWAY @ 1.33,1.33,,0.114,medium,84.8,22.8,165,paper,1.0,Auto-registrado,lost,lost,-1.0,1
13,2026-03-18 11:31:44,nagoya-hiroshima-apuestas-35370768,Nagoya - Hiroshima,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/nagoya-hiroshima-apuestas-35370768,draw_xg_conv,BACK Draw xG Convergence,66,1-1,BACK DRAW @ 2.08,2.08,1.3,0.108,medium,54.7,26.4,234,paper,1.0,Auto-registrado,lost,lost,-1.0,1
14,2026-03-18 11:31:45,kobe-g-osaka-apuestas-35370769,Kobe - G-Osaka,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/kobe-g-osaka-apuestas-35370769,draw_xg_conv,BACK Draw xG Convergence,67,1-1,BACK DRAW @ 1.97,1.97,1.3,0.051,medium,54.7,26.4,234,paper,1.0,Auto-registrado,won,won,0.92,1
15,2026-03-18 11:32:43,mito-yokohama-fm-apuestas-35370656,Mito - Yokohama FM,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/mito-yokohama-fm-apuestas-35370656,cs_one_goal,BACK CS One-Goal,71,1-0,BACK CS 1-0 @ 2.02,2.02,1.8,0.051,medium,53.4,42.8,206,paper,1.0,Auto-registrado,won,won,0.97,1
16,2026-03-18 11:34:03,jef-utd-chiba-fc-tokyo-apuestas-35370657,Jef Utd Chiba - FC Tokyo,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/jef-utd-chiba-fc-tokyo-apuestas-35370657,cs_one_goal,BACK CS One-Goal,69,0-1,BACK CS 0-1 @ 2.70,2.7,1.8,0.396,medium,53.4,42.8,206,paper,1.0,Auto-registrado,lost,lost,-1.0,1
17,2026-03-18 11:34:53,nagoya-hiroshima-apuestas-35370768,Nagoya - Hiroshima,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/nagoya-hiroshima-apuestas-35370768,cs_close,BACK CS Close,69,2-1,BACK CS 2-1 @ 4.90,4.9,1.3,1.353,medium,50.0,92.4,134,paper,1.0,Auto-registrado,won,won,3.71,1
18,2026-03-18 11:35:33,fukuoka-shimizu-apuestas-35372293,Fukuoka - Shimizu,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/fukuoka-shimizu-apuestas-35372293,cs_one_goal,BACK CS One-Goal,70,0-1,BACK CS 0-1 @ 1.94,1.94,1.8,0.011,medium,53.4,42.8,206,paper,1.0,Auto-registrado,lost,lost,-1.0,1
19,2026-03-18 11:36:24,nagasaki-kyoto-apuestas-35372292,Nagasaki - Kyoto,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/nagasaki-kyoto-apuestas-35372292,cs_11,BACK CS 1-1 Late,71,1-1,BACK CS 1-1 @ 2.00,2.0,,-0.025,medium,50.0,23.5,128,paper,1.0,Auto-registrado,lost,lost,-1.0,1
20,2026-03-18 11:36:26,kobe-g-osaka-apuestas-35370769,Kobe - G-Osaka,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/kobe-g-osaka-apuestas-35370769,cs_11,BACK CS 1-1 Late,72,1-1,BACK CS 1-1 @ 2.02,2.02,,-0.016,medium,50.0,23.5,128,paper,1.0,Auto-registrado,lost,lost,-1.0,1
21,2026-03-18 11:36:43,nagasaki-kyoto-apuestas-35372292,Nagasaki - Kyoto,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/nagasaki-kyoto-apuestas-35372292,draw_xg_conv,BACK Draw xG Convergence,71,1-1,BACK DRAW @ 1.76,1.76,1.3,-0.058,medium,54.7,26.4,234,paper,1.0,Auto-registrado,lost,lost,-1.0,1
22,2026-03-18 11:41:09,tokyo-v-kawasaki-apuestas-35370851,Tokyo-V - Kawasaki,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/tokyo-v-kawasaki-apuestas-35370851,cs_20,BACK CS 2-0/0-2,76,0-2,BACK CS 0-2 @ 2.04,2.04,1.5,0.117,medium,56.2,43.1,73,paper,1.0,Auto-registrado,won,won,0.99,1
23,2026-03-18 11:53:51,pohang-steelers-fc-seoul-apuestas-35375572,Pohang Steelers - FC Seoul,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/corea-del-sur-k1-league/pohang-steelers-fc-seoul-apuestas-35375572,away_fav_leading,BACK Away Fav Leading,62,0-1,BACK AWAY @ 1.11,1.11,,-0.063,medium,84.8,22.8,165,paper,1.0,Auto-registrado,won,won,0.1,1
24,2026-03-18 11:57:28,jeju-utd-ulsan-hyundai-horang-i-apuestas-35375374,Jeju Utd - Ulsan Hyundai Horang-i,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/corea-del-sur-k1-league/jeju-utd-ulsan-hyundai-horang-i-apuestas-35375374,away_fav_leading,BACK Away Fav Leading,62,0-1,BACK AWAY @ 1.32,1.32,,0.106,medium,84.8,22.8,165,paper,1.0,Auto-registrado,won,won,0.3,1
25,2026-03-18 11:58:18,jeonbuk-motors-fc-anyang-apuestas-35375565,Jeonbuk Motors - FC Anyang,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/corea-del-sur-k1-league/jeonbuk-motors-fc-anyang-apuestas-35375565,draw_equalizer,BACK Draw Equalizer Late,66,1-1,BACK DRAW @ 2.12,2.12,1.3,0.174,medium,56.9,74.7,197,paper,1.0,Auto-registrado,lost,lost,-1.0,1
26,2026-03-18 12:00:12,urawa-kashiwa-apuestas-35370852,Urawa - Kashiwa,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/jap%C3%B3n-j-league-100-year-vision/urawa-kashiwa-apuestas-35370852,draw_xg_conv,BACK Draw xG Convergence,66,1-1,BACK DRAW @ 3.75,3.75,1.3,0.976,medium,54.7,26.4,234,paper,1.0,Auto-registrado,won,won,2.61,1
27,2026-03-18 12:02:47,pohang-steelers-fc-seoul-apuestas-35375572,Pohang Steelers - FC Seoul,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/corea-del-sur-k1-league/pohang-steelers-fc-seoul-apuestas-35375572,cs_one_goal,BACK CS One-Goal,70,0-1,BACK CS 0-1 @ 2.24,2.24,1.8,0.163,medium,53.4,42.8,206,paper,1.0,Auto-registrado,won,won,1.18,1
28,2026-03-18 12:02:48,jeonbuk-motors-fc-anyang-apuestas-35375565,Jeonbuk Motors - FC Anyang,https://www.betfair.es/exchange/plus/es/f%C3%BAtbol/corea-del-sur-k1-league/jeonbuk-motors-fc-anyang-apuestas-35375565,cs_11,BACK CS 1-1 Late,72,1-1,BACK CS 1-1 @ 2.40,2.4,,0.165,medium,50.0,23.5,128,paper,1.0,Auto-registrado,lost,lost,-1.0,1
