match,match_id,csv_file,timestamp_utc,strategy,minuto,score,ft_score,won,pl,back_draw,back_over_odds,over_line,back_odds,drift_pct,xg_total,xg_excess,poss_diff,shots_total,sot_total,sot_max,passes_v15,passes_v2r,passes_v2,passes_v3,passes_v4,team,goal_diff,cashout_applied,cashout_minute,cashout_lay_odds,conservative_odds,pl_conservative,stability_count,risk_level
"Salford City Newport County",salford-city-newport-county-apuestas-35263008,salford-city-newport-county-apuestas-35263008.csv,2026-02-17 21:07:00,Goal Clustering,59,0-3,0-3,0,-10,,1.36,Over 3.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.22,-10,4,
"Barrow Harrogate Town",barrow-harrogate-town-apuestas-35263010,barrow-harrogate-town-apuestas-35263010.csv,2026-02-17 21:07:46,xG Underperf,62,0-1,0-1,0,-10,,1.55,Over 1.5,,,,0.75,,,,,0,0,1,1,0,home,,0,,,1.29,-10,11,
"Bromley Cheltenham",bromley-cheltenham-apuestas-35263015,bromley-cheltenham-apuestas-35263015.csv,2026-02-17 21:12:20,Pressure Cooker,65,,1-1,0,-10,,1.77,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,1.46,-10,11,
"Cambridge United Colchester",cambridge-united-colchester-apuestas-35263012,cambridge-united-colchester-apuestas-35263012.csv,2026-02-17 21:12:20,Pressure Cooker,65,,1-1,0,-10,,1.9,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,1.58,-10,11,
"Tigre Ca Claypole",tigre-ca-claypole-apuestas-35172796,tigre-ca-claypole-apuestas-35172796.csv,2026-02-17 23:16:38,Back Empate,31,,2-0,0,-10,4,,,,,,,,0,0,,0,0,0,0,0,,,0,,,2.86,-10,11,
"Al Ahli Qat Sepahan",al-ahli-qat-sepahan-apuestas-35281006,al-ahli-qat-sepahan-apuestas-35281006.csv,2026-02-18 18:21:58,Tarde Asia,6,,0-0,0,-10,,2.3,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,2.1,-10,11,
"Al Ahli Qat Sepahan",al-ahli-qat-sepahan-apuestas-35281006,al-ahli-qat-sepahan-apuestas-35281006.csv,2026-02-18 18:41:26,Momentum x xG V1,26,0-0,0-0,0,-10,,,,4.3,,,,,,,,0,0,0,0,0,,,0,,,4.1,-10,9,none
"Levante Villarreal",levante-villarreal-apuestas-35242977,levante-villarreal-apuestas-35242977.csv,2026-02-18 19:34:49,Back Empate,31,,0-1,0,-10,3,,,,,0.05,,9.6,3,0,,1,1,1,0,1,,,0,,,3,-10,11,
"Wigan Luton",wigan-luton-apuestas-35268033,wigan-luton-apuestas-35268033.csv,2026-02-18 20:19:19,Back Empate,33,,1-0,0,-10,2.6,,,,,0.19,,9,2,1,,1,1,1,0,1,,,0,,,2.6,-10,11,
"Levante Villarreal",levante-villarreal-apuestas-35242977,levante-villarreal-apuestas-35242977.csv,2026-02-18 20:22:58,Goal Clustering,57,0-1,0-1,0,-10,,1.53,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.33,-10,4,
"Grimsby Walsall",grimsby-walsall-apuestas-35256480,grimsby-walsall-apuestas-35256480.csv,2026-02-18 21:04:06,Goal Clustering,51,1-1,2-2,1,2.28,,1.29,Over 2.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.19,1.8,4,
"Wolves Arsenal",wolves-arsenal-apuestas-35242975,wolves-arsenal-apuestas-35242975.csv,2026-02-18 21:22:19,Goal Clustering,56,0-2,2-2,1,3.8,,1.45,Over 2.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.38,3.61,4,
"Paok Celta De Vigo",paok-celta-de-vigo-apuestas-35207533,paok-celta-de-vigo-apuestas-35207533.csv,2026-02-19 18:16:46,Back Empate,31,,0-2,0,-10,2.68,,,,,0.57,,16.2,5,3,,1,1,0,1,1,,,0,,,2.68,-10,11,
"Paok Celta De Vigo",paok-celta-de-vigo-apuestas-35207533,paok-celta-de-vigo-apuestas-35207533.csv,2026-02-19 18:27:02,Goal Clustering,38,0-1,0-2,1,2.09,,1.26,Over 1.5,,,,,,,,4,0,0,0,1,1,,,0,,,1.26,2.47,4,
"Dinamo Zagreb Genk",dinamo-zagreb-genk-apuestas-35249322,dinamo-zagreb-genk-apuestas-35249322.csv,2026-02-19 18:47:09,Odds Drift,45,1-2,1-3,1,7.22,,,,1.82,43.3,,,,,,,0,0,0,0,0,away,1,0,,,1.82,7.79,11,none
"Sigma Olomouc Lausanne",sigma-olomouc-lausanne-apuestas-35194769,sigma-olomouc-lausanne-apuestas-35194769.csv,2026-02-19 18:58:37,xG Underperf,52,0-1,1-1,1,2.47,,1.31,Over 1.5,,,,0.5,,,,,0,0,1,1,0,home,,0,,,1.26,2.47,11,
"Fenerbahce Nottingham Forest",fenerbahce-nottingham-forest-apuestas-35250459,fenerbahce-nottingham-forest-apuestas-35250459.csv,2026-02-19 18:58:37,Goal Clustering,49,0-3,0-3,0,-10,,1.29,Over 3.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.28,-10,3,
"Al Mokawloon Al Masry",al-mokawloon-al-masry-apuestas-35260499,al-mokawloon-al-masry-apuestas-35260499.csv,2026-02-19 20:03:58,Back Empate,31,,1-1,1,12.16,2.36,,,,,0.1,,16,1,0,,1,1,1,1,0,,,0,,,2.36,12.92,11,
"Al Ettifaq Al Fateh Ksa",al-ettifaq-al-fateh-ksa-apuestas-35268319,al-ettifaq-al-fateh-ksa-apuestas-35268319.csv,2026-02-19 20:06:08,Odds Drift,45,3-2,4-3,1,5.7,,,,1.66,58.1,,,,,,,0,0,0,0,0,home,1,0,,,1.66,6.27,11,none
"Lille Estrella Roja",lille-estrella-roja-apuestas-35239505,lille-estrella-roja-apuestas-35239505.csv,2026-02-19 20:32:01,Back Empate,31,,0-1,0,-10,3.45,,,,,0.23,,5.8,4,1,,1,1,1,1,1,,,0,,,3.45,-10,11,
"Omonia Rijeka",omonia-rijeka-apuestas-35194713,omonia-rijeka-apuestas-35194713.csv,2026-02-19 20:32:58,Back Empate,31,,0-1,0,-10,2.66,,,,,0.26,,7.8,4,0,,1,1,1,1,1,,,0,,,2.66,-10,11,
"Kf Drita Celje",kf-drita-celje-apuestas-35194711,kf-drita-celje-apuestas-35194711.csv,2026-02-19 20:47:01,Goal Clustering,41,0-2,2-3,1,1.71,,1.22,Over 2.5,,,,,,,,3,0,0,0,1,1,,,0,,,1.22,2.09,3,
"Pharco Fc Petrojet",pharco-fc-petrojet-apuestas-35260504,pharco-fc-petrojet-apuestas-35260504.csv,2026-02-19 21:05:30,xG Underperf,66,1-0,1-1,1,5.32,,1.62,Over 1.5,,,,0.53,,,,,0,0,1,1,0,away,,0,,,1.26,2.47,11,
"Athletico Pr Corinthians",athletico-pr-corinthians-apuestas-35232858,athletico-pr-corinthians-apuestas-35232858.csv,2026-02-19 22:51:40,Odds Drift,20,0-1,0-1,1,19.85,,,,3.2,30.1,,,,,,,0,0,0,0,0,away,1,0,,,2.46,13.87,6,none
"Otelul Galati Uta Arad",otelul-galati-uta-arad-apuestas-35260907,otelul-galati-uta-arad-apuestas-35260907.csv,2026-02-20 15:44:34,Odds Drift,42,1-2,2-2,0,-10,,,,1.59,39.5,,,,,,,0,0,0,0,0,away,1,0,,,1.14,-10,11,none
"Cherno More Varna Botev Vratsa",cherno-more-varna-botev-vratsa-apuestas-35246972,cherno-more-varna-botev-vratsa-apuestas-35246972.csv,2026-02-20 16:15:31,Goal Clustering,24,1-0,0-0,0,-10,,1.77,Over 1.5,,,,,,,,3,0,0,0,1,0,,,0,,,1.75,-10,3,
"Cherno More Varna Botev Vratsa",cherno-more-varna-botev-vratsa-apuestas-35246972,cherno-more-varna-botev-vratsa-apuestas-35246972.csv,2026-02-20 16:19:24,Back Empate,32,,0-0,1,19.85,3.2,,,,,0,,18,11,4,,1,0,0,0,0,,,0,,,3.2,20.9,4,
"Rizespor Kocaelispor",rizespor-kocaelispor-apuestas-35264554,rizespor-kocaelispor-apuestas-35264554.csv,2026-02-20 17:11:33,Momentum x xG V1,10,0-0,2-0,1,11.59,,,,2.3,,,,,,,,0,0,0,0,0,,,0,,,2.14,10.83,11,none
"Bochum Núremberg",bochum-núremberg-apuestas-35263854,bochum-núremberg-apuestas-35263854.csv,2026-02-20 17:30:29,Tarde Asia,0,,1-1,0,-10,,1.76,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,1.75,-10,11,
"Bochum Núremberg",bochum-núremberg-apuestas-35263854,bochum-núremberg-apuestas-35263854.csv,2026-02-20 18:01:33,Back Empate,31,,1-1,1,18.91,3.1,,,,,0.33,,0.8,4,1,,1,1,1,1,1,,,0,,,3.1,19.95,11,
"Rizespor Kocaelispor",rizespor-kocaelispor-apuestas-35264554,rizespor-kocaelispor-apuestas-35264554.csv,2026-02-20 18:20:42,Goal Clustering,56,2-0,2-0,0,-10,,1.47,Over 2.5,,,,,,,,4,0,0,0,1,0,,,0,,,1.46,-10,3,
"Al Taawoun Buraidah Al Feiha",al-taawoun-buraidah-al-feiha-apuestas-35264078,al-taawoun-buraidah-al-feiha-apuestas-35264078.csv,2026-02-20 19:01:01,Tarde Asia,0,,2-3,1,10.45,,2.18,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,2.14,10.83,3,
"Annecy Red Star",annecy-red-star-apuestas-35263813,annecy-red-star-apuestas-35263813.csv,2026-02-20 19:01:01,Tarde Asia,0,,2-1,1,13.59,,2.52,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,2.52,14.44,4,
"Rodez Montpellier",rodez-montpellier-apuestas-35266151,rodez-montpellier-apuestas-35266151.csv,2026-02-20 19:01:01,Tarde Asia,0,,1-0,0,-10,,1.84,Over 2.5,,,,,,,,,0,0,0,0,0,,,0,,,1.84,-10,4,
