match,match_id,csv_file,timestamp_utc,strategy,minuto,score,ft_score,won,pl,back_draw,back_over_odds,over_line,back_odds,drift_pct,xg_total,xg_excess,poss_diff,shots_total,sot_total,sot_max,passes_v15,passes_v2r,passes_v2,passes_v3,passes_v4,team,goal_diff
"Reading Wycombe",reading-wycombe-apuestas-35240945,reading-wycombe-apuestas-35240945.csv,2026-02-14 14:03:23,Goal Clustering,73,,3-2,1,62.7,,,,,,,,,,,8,0,0,0,0,0,,
"Espanyol Celta De Vigo",espanyol-celta-de-vigo-apuestas-35216696,espanyol-celta-de-vigo-apuestas-35216696.csv,2026-02-14 14:27:50,Goal Clustering,66,,2-2,1,15.58,,,,,,,,,,,3,0,0,0,0,0,,
"Espanyol Celta De Vigo",espanyol-celta-de-vigo-apuestas-35216696,espanyol-celta-de-vigo-apuestas-35216696.csv,2026-02-14 14:40:06,Goal Clustering,78,,2-2,1,53.2,,,,,,,,,,,4,0,0,0,0,0,,
"Espanyol Celta De Vigo",espanyol-celta-de-vigo-apuestas-35216696,espanyol-celta-de-vigo-apuestas-35216696.csv,2026-02-14 14:52:41,xG Underperf,90,2-1,2-2,1,53.2,,6.6,Over 3.5,,,,0.52,,,,,0,0,1,0,0,away,
"Eintracht Frankfurt B Mönchengladbach Apuesta",eintracht-frankfurt-b-mönchengladbach-apuesta,eintracht-frankfurt-b-mönchengladbach-apuesta.csv,2026-02-14 15:04:29,Goal Clustering,34,,3-0,1,6.74,,,,,,,,,,,3,0,0,0,0,0,,
"Eintracht Frankfurt B Mönchengladbach Apuesta",eintracht-frankfurt-b-mönchengladbach-apuesta,eintracht-frankfurt-b-mönchengladbach-apuesta.csv,2026-02-14 15:38:33,xG Underperf,45,2-0,3-0,1,6.74,,1.71,Over 2.5,,,,0.65,,,,,0,0,0,0,0,away,
"Eintracht Frankfurt B Mönchengladbach Apuesta",eintracht-frankfurt-b-mönchengladbach-apuesta,eintracht-frankfurt-b-mönchengladbach-apuesta.csv,2026-02-14 16:06:56,Goal Clustering,74,,3-0,0,-10,,,,,,,,,,,6,0,0,0,0,0,,
"Eintracht Frankfurt B Mönchengladbach Apuesta",eintracht-frankfurt-b-mönchengladbach-apuesta,eintracht-frankfurt-b-mönchengladbach-apuesta.csv,2026-02-14 16:08:44,Odds Drift,75,3-0,3-0,1,17.29,,,,2.82,168.6,,,,,,,0,0,1,1,1,home,3
"Trabzonspor Fenerbahce",trabzonspor-fenerbahce-apuestas-35242066,trabzonspor-fenerbahce-apuestas-35242066.csv,2026-02-14 17:39:43,Goal Clustering,34,,2-3,1,6.55,,,,,,,,,,,3,0,0,0,0,0,,
"Charleroi Gante",charleroi-gante-apuestas-35241421,charleroi-gante-apuestas-35241421.csv,2026-02-14 17:56:36,Odds Drift,39,0-1,2-3,1,7.5,,,,1.79,36.6,,,,,,,0,0,0,0,0,away,1
"Charleroi Gante",charleroi-gante-apuestas-35241421,charleroi-gante-apuestas-35241421.csv,2026-02-14 18:33:02,xG Underperf,57,0-1,2-3,1,3.52,,1.37,Over 1.5,,,,0.8,,,,,0,0,1,0,0,home,
"Charleroi Gante",charleroi-gante-apuestas-35241421,charleroi-gante-apuestas-35241421.csv,2026-02-14 18:35:21,Goal Clustering,59,,2-3,1,18.24,,,,,,,,,,,6,0,0,0,0,0,,
"Charleroi Gante",charleroi-gante-apuestas-35241421,charleroi-gante-apuestas-35241421.csv,2026-02-14 18:48:34,Goal Clustering,72,,2-3,1,5.7,,,,,,,,,,,7,0,0,0,0,0,,
"Real Madrid Real Sociedad",real-madrid-real-sociedad-apuestas-35216679,real-madrid-real-sociedad-apuestas-35216679.csv,2026-02-14 20:08:59,Odds Drift,6,1-0,5-1,1,11.4,,,,2.2,53.8,,,,,,,0,0,0,0,0,home,1
"Granada Valladolid",granada-valladolid-apuestas-35243577,granada-valladolid-apuestas-35243577.csv,2026-02-14 20:12:20,Odds Drift,11,2-0,5-1,1,15.77,,,,2.66,92.8,,,,,,,0,0,1,0,0,home,2
"Standard De Lieja Union St Gilloise",standard-de-lieja-union-st-gilloise-apuestas-35245,standard-de-lieja-union-st-gilloise-apuestas-35245.csv,2026-02-14 20:26:33,xG Underperf,38,1-0,1-1,1,0.57,,1.06,Over 1.5,,,,0.98,,,,,0,0,0,0,0,away,
"Real Madrid Real Sociedad",real-madrid-real-sociedad-apuestas-35216679,real-madrid-real-sociedad-apuestas-35216679.csv,2026-02-14 20:34:30,Goal Clustering,31,,5-1,1,36.1,,,,,,,,,,,3,0,0,0,0,0,,
"Standard De Lieja Union St Gilloise",standard-de-lieja-union-st-gilloise-apuestas-35245,standard-de-lieja-union-st-gilloise-apuestas-35245.csv,2026-02-14 20:36:07,Odds Drift,48,1-0,1-1,0,-10,,,,9.8,329.8,,,,,,,0,0,0,1,0,home,1
"Dynamo Dresden Elversberg",dynamo-dresden-elversberg-apuestas-35241337,dynamo-dresden-elversberg-apuestas-35241337.csv,2026-02-14 20:40:56,Odds Drift,51,1-0,1-2,0,-10,,,,6.2,262.6,,,,,,,0,0,0,1,0,home,1
"Paris Fc Lens",paris-fc-lens-apuestas-35216501,paris-fc-lens-apuestas-35216501.csv,2026-02-14 20:53:52,Odds Drift,47,0-2,0-3,1,8.55,,,,1.9,75.9,,,,,,,0,0,1,0,1,away,2
"Fc Groningen Utrecht",fc-groningen-utrecht-apuestas-35216585,fc-groningen-utrecht-apuestas-35216585.csv,2026-02-14 21:16:48,xG Underperf,59,1-0,1-2,1,4.27,,1.45,Over 1.5,,,,1.86,,,,,0,0,1,0,0,away,
"Liverpool Brighton",liverpool-brighton-apuestas-35172770,liverpool-brighton-apuestas-35172770.csv,2026-02-14 21:16:48,xG Underperf,57,2-0,3-0,1,2.56,,1.27,Over 2.5,,,,0.65,,,,,0,0,1,0,0,away,
"Fc Groningen Utrecht",fc-groningen-utrecht-apuestas-35216585,fc-groningen-utrecht-apuestas-35216585.csv,2026-02-14 21:16:48,Goal Clustering,59,,1-2,1,4.27,,,,,,,,,,,4,0,0,0,0,0,,
"Liverpool Brighton",liverpool-brighton-apuestas-35172770,liverpool-brighton-apuestas-35172770.csv,2026-02-14 21:16:48,Goal Clustering,57,,3-0,1,2.56,,,,,,,,,,,4,0,0,0,0,0,,
"Liverpool Brighton",liverpool-brighton-apuestas-35172770,liverpool-brighton-apuestas-35172770.csv,2026-02-14 21:28:52,Goal Clustering,69,,3-0,0,-10,,,,,,,,,,,5,0,0,0,0,0,,
"Paris Fc Lens",paris-fc-lens-apuestas-35216501,paris-fc-lens-apuestas-35216501.csv,2026-02-14 21:28:52,Goal Clustering,61,,0-3,0,-10,,,,,,,,,,,4,0,0,0,0,0,,
"Fc Groningen Utrecht",fc-groningen-utrecht-apuestas-35216585,fc-groningen-utrecht-apuestas-35216585.csv,2026-02-14 21:37:25,Goal Clustering,79,,1-2,1,12.54,,,,,,,,,,,5,0,0,0,0,0,,
"Kocaelispor Gaziantep Fk",kocaelispor-gaziantep-fk-apuestas-35248519,kocaelispor-gaziantep-fk-apuestas-35248519.csv,2026-02-15 12:10:14,Odds Drift,37,1-0,3-0,1,7.03,,,,1.74,48.7,,,,,,,0,0,0,0,0,home,1
"Kocaelispor Gaziantep Fk",kocaelispor-gaziantep-fk-apuestas-35248519,kocaelispor-gaziantep-fk-apuestas-35248519.csv,2026-02-15 12:18:58,Goal Clustering,45,,3-0,1,0.1,,,,,,,,,,,4,0,0,0,0,0,,
"Fc Magdeburg Arminia Bielefeld",fc-magdeburg-arminia-bielefeld-apuestas-35243485,fc-magdeburg-arminia-bielefeld-apuestas-35243485.csv,2026-02-15 13:02:26,xG Underperf,31,0-1,0-2,1,4.27,,1.45,Over 1.5,,,,0.65,,,,,0,0,0,0,0,home,
"Fredericia Agf",fredericia-agf-apuestas-35244425,fredericia-agf-apuestas-35244425.csv,2026-02-15 13:07:43,Odds Drift,5,1-0,1-1,0,-10,,,,2.36,50.3,,,,,,,0,0,0,0,0,home,1
"Kocaelispor Gaziantep Fk",kocaelispor-gaziantep-fk-apuestas-35248519,kocaelispor-gaziantep-fk-apuestas-35248519.csv,2026-02-15 13:12:56,Goal Clustering,78,,3-0,1,11.97,,,,,,,,,,,6,0,0,0,0,0,,
"Thun Sion",thun-sion-apuestas-35258535,thun-sion-apuestas-35258535.csv,2026-02-15 13:33:19,Back Empate,31,,1-0,0,-10,3.3,,,,,0.45,,5,7,3,,1,1,1,0,0,,
"Ludogorets Razgrad Beroe Stara Za",ludogorets-razgrad-beroe-stara-za-apuestas-3524331,ludogorets-razgrad-beroe-stara-za-apuestas-3524331.csv,2026-02-15 13:43:59,Odds Drift,52,0-1,2-1,0,-10,,,,17,54.5,,,,,,,0,0,0,0,0,away,1
"Ludogorets Razgrad Beroe Stara Za",ludogorets-razgrad-beroe-stara-za-apuestas-3524331,ludogorets-razgrad-beroe-stara-za-apuestas-3524331.csv,2026-02-15 13:43:59,Goal Clustering,52,,2-1,1,1.14,,,,,,,,,,,3,0,0,0,0,0,,
"Thun Sion",thun-sion-apuestas-35258535,thun-sion-apuestas-35258535.csv,2026-02-15 13:47:02,Goal Clustering,45,,1-0,0,-10,,,,,,,,,,,3,0,0,0,0,0,,
"Grimsby Wolves",grimsby-wolves-apuestas-35172760,grimsby-wolves-apuestas-35172760.csv,2026-02-15 14:03:16,Back Empate,31,,0-1,0,-10,3.3,,,,,0.23,,11.6,5,0,,1,1,1,0,0,,
"Mirandés Las Palmas",mirandés-las-palmas-apuestas-35247639,mirandés-las-palmas-apuestas-35247639.csv,2026-02-15 14:12:15,xG Underperf,56,1-0,1-0,0,-10,,1.43,Over 1.5,,,,0.77,,,,,0,0,1,0,0,away,
"Oviedo Athletic De Bilbao",oviedo-athletic-de-bilbao-apuestas-35216603,oviedo-athletic-de-bilbao-apuestas-35216603.csv,2026-02-15 14:12:15,Odds Drift,55,1-0,1-2,0,-10,,,,4.1,157.9,,,,,,,0,0,0,1,1,home,1
"Mirandés Las Palmas",mirandés-las-palmas-apuestas-35247639,mirandés-las-palmas-apuestas-35247639.csv,2026-02-15 14:13:52,Odds Drift,57,1-0,1-0,1,55.1,,,,6.8,61.9,,,,,,,0,0,0,0,0,home,1
"Oviedo Athletic De Bilbao",oviedo-athletic-de-bilbao-apuestas-35216603,oviedo-athletic-de-bilbao-apuestas-35216603.csv,2026-02-15 14:15:30,Goal Clustering,57,,1-2,1,12.92,,,,,,,,,,,3,0,0,0,0,0,,
"Thun Sion",thun-sion-apuestas-35258535,thun-sion-apuestas-35258535.csv,2026-02-15 14:24:50,Odds Drift,67,1-0,1-0,1,14.06,,,,2.48,123.4,,,,,,,0,0,0,1,1,home,1
"Oviedo Athletic De Bilbao",oviedo-athletic-de-bilbao-apuestas-35216603,oviedo-athletic-de-bilbao-apuestas-35216603.csv,2026-02-15 14:29:08,Goal Clustering,71,,1-2,0,-10,,,,,,,,,,,4,0,0,0,0,0,,
"Amberes Westerlo",amberes-westerlo-apuestas-35245449,amberes-westerlo-apuestas-35245449.csv,2026-02-15 15:20:38,Odds Drift,19,0-1,0-2,1,7.41,,,,1.78,34.8,,,,,,,0,0,0,0,0,away,1
"Pfc Levski Sofia Botev Plovdiv",pfc-levski-sofia-botev-plovdiv-apuestas-35243302,pfc-levski-sofia-botev-plovdiv-apuestas-35243302.csv,2026-02-15 15:41:09,Goal Clustering,38,,3-0,1,1.99,,,,,,,,,,,3,0,0,0,0,0,,
"Pfc Levski Sofia Botev Plovdiv",pfc-levski-sofia-botev-plovdiv-apuestas-35243302,pfc-levski-sofia-botev-plovdiv-apuestas-35243302.csv,2026-02-15 16:10:14,Goal Clustering,49,,3-0,1,6.46,,,,,,,,,,,5,0,0,0,0,0,,
"Pfc Levski Sofia Botev Plovdiv",pfc-levski-sofia-botev-plovdiv-apuestas-35243302,pfc-levski-sofia-botev-plovdiv-apuestas-35243302.csv,2026-02-15 16:15:53,Goal Clustering,54,,3-0,0,-10,,,,,,,,,,,6,0,0,0,0,0,,
"Pfc Levski Sofia Botev Plovdiv",pfc-levski-sofia-botev-plovdiv-apuestas-35243302,pfc-levski-sofia-botev-plovdiv-apuestas-35243302.csv,2026-02-15 16:21:14,Goal Clustering,60,,3-0,0,-10,,,,,,,,,,,7,0,0,0,0,0,,
"Amberes Westerlo",amberes-westerlo-apuestas-35245449,amberes-westerlo-apuestas-35245449.csv,2026-02-15 16:23:24,Goal Clustering,63,,0-2,0,-10,,,,,,,,,,,7,0,0,0,0,0,,
"Amberes Westerlo",amberes-westerlo-apuestas-35245449,amberes-westerlo-apuestas-35245449.csv,2026-02-15 16:53:10,xG Underperf,94,0-2,0-2,0,-10,,1.59,Over 2.5,,,,0.51,,,,,0,0,0,0,0,home,
"Esporte Clube Primavera Noroeste Bauru",esporte-clube-primavera-noroeste-bauru-apuestas-35,esporte-clube-primavera-noroeste-bauru-apuestas-35.csv,2026-02-15 23:41:43,Odds Drift,7,0-1,2-2,0,-10,,,,3.45,30.7,,,,,,,0,0,0,0,0,away,1
"Esporte Clube Primavera Noroeste Bauru",esporte-clube-primavera-noroeste-bauru-apuestas-35,esporte-clube-primavera-noroeste-bauru-apuestas-35.csv,2026-02-15 23:49:52,xG Underperf,15,0-1,2-2,1,3.61,,1.38,Over 1.5,,,,0.62,,,,,0,0,0,0,0,home,
"Red Bull Bragantino Novorizontino",red-bull-bragantino-novorizontino-apuestas-3524529,red-bull-bragantino-novorizontino-apuestas-3524529.csv,2026-02-16 00:05:30,Odds Drift,29,1-0,2-0,1,13.3,,,,2.4,44.6,,,,,,,0,0,0,0,0,home,1
"Red Bull Bragantino Novorizontino",red-bull-bragantino-novorizontino-apuestas-3524529,red-bull-bragantino-novorizontino-apuestas-3524529.csv,2026-02-16 00:05:30,Goal Clustering,29,,2-0,1,1.33,,,,,,,,,,,3,0,0,0,0,0,,
"Red Bull Bragantino Novorizontino",red-bull-bragantino-novorizontino-apuestas-3524529,red-bull-bragantino-novorizontino-apuestas-3524529.csv,2026-02-16 01:04:43,Goal Clustering,65,,2-0,0,-10,,,,,,,,,,,6,0,0,0,0,0,,
